Canton	Total_dwelling	empty_rooms_1	empty_rooms_2	empty_rooms_3	empty_rooms_4	empty_rooms_5	empty_rooms_6_plus	empty_sfh	empty_new	emty_rent	empty_sales	empty_proportion
Vaud	400395	362	605	999	868	453	366	604	546	2657	996	0.91
Valais	250465	629	1101	1750	1443	503	199	736	912	3888	1737	2.25
Geneva	229551	203	190	217	179	125	253	204	40	866	301	0.51
Bern	558598	757	1708	3583	3253	944	500	971	895	9410	1335	1.92
Fribourg	145519	195	297	693	529	162	77	190	376	1730	223	1.34
Solothurn	134540	219	486	1350	1295	389	154	374	464	3468	425	2.89
Neuchâtel	94223	91	168	598	401	133	53	47	37	1412	32	1.53
Jura	37688	58	95	253	295	106	54	215	125	643	218	2.28
Basel-Stadt	108987	68	164	202	84	16	12	12	29	535	11	0.5
Basel-Landschaft	138417	23	81	394	254	44	13	29	60	783	26	0.58
Aargau	312678	354	908	2409	2327	963	362	882	1222	6155	1168	2.34
Zurich	730413	341	999	2081	2105	709	362	649	1538	5528	1069	0.9
Glarus	22477	28	46	93	114	70	27	68	55	342	36	1.68
Schaffhausen	41344	32	85	257	292	139	40	73	127	680	165	2.04
Appenzell A.Rh.	28622	39	81	149	193	57	58	87	97	434	143	2.02
Appenzell I.Rh.	7873	9	21	50	51	26	29	33	27	154	32	2.36
St.Gallen	252538	327	706	1485	1432	433	268	366	717	4014	637	1.84
Graubünden	170177	378	555	801	733	281	158	248	445	1674	1232	1.71
Thurgau	129996	131	310	835	863	305	154	246	524	2260	338	2
Lucerne	193248	99	311	665	757	246	100	89	426	1873	305	1.13
Uri	19343	22	54	118	112	51	15	35	105	295	77	1.92
Schwyz	76682	66	137	334	369	147	57	87	183	926	184	1.45
Obwalden	21245	10	21	37	26	27	8	16	28	86	43	0.61
Nidwalden	21512	22	49	97	106	44	15	21	21	269	64	1.55
Zug	57728	12	28	66	96	29	19	29	19	201	49	0.43
Ticino	236570	241	655	1304	1140	262	162	474	1046	3044	720	1.59
