Name,Abbr.,Capital,"Area
A (km²)","Population
Census (C)
1980-12-02","Population
Census (C)
1990-12-04","Population
Census (C)
2000-12-05","Population
Census (C)
2010-12-31","Population
Estimate (E)
2016-12-31"
Aargau [Argovia],AG,Aarau,1404,453442,507508,547493,611466,663462
Appenzell Ausserrhoden [Appenzell Outer Rhodes],AR,Herisau,243,47611,52229,53504,53017,54954
Appenzell Innerrhoden [Appenzell Inner Rhodes],AI,Appenzell,173,12844,13870,14618,15688,16003
Basel-Landschaft [Basel-Country],BL,Liestal,518,233447,248484,259374,274404,285624
Basel-Stadt [Basel-City],BS,Basel,37,203915,199411,188079,184950,193070
Bern,BE,Bern,5941,898397,943196,957197,979802,1026513
Fribourg,FR,Fribourg,1671,185246,213571,241706,278493,311914
Genève [Geneva],GE,Genève,282,349040,379190,413673,457715,489524
Glarus,GL,Glarus,685,36718,38508,38183,38608,40147
Graubünden [Grisons],GR,Chur,7105,164641,173890,187058,192621,197550
Jura,JU,Delémont,836,64986,66163,68224,70032,73122
Luzern,LU,Luzern,1493,296159,326268,350504,377610,403397
Neuchâtel,NE,Neuchâtel,803,158368,163985,167949,172085,178567
Nidwalden [Nidwald],NW,Stans,276,28617,33044,37235,41024,42556
Obwalden [Obwald],OW,Sarnen,490,25865,29025,32427,35585,37378
Schaffhausen,SH,Schaffhausen,298,69413,72160,73392,76356,80769
Schwyz,SZ,Schwyz,908,97354,111964,128704,146730,155863
Solothurn,SO,Solothurn,791,218102,231746,244341,255284,269441
St. Gallen,SG,St. Gallen,2026,391995,427501,452837,478907,502552
Thurgau [Thurgovia],TG,Frauenfeld,991,183795,209362,228875,248444,270709
Ticino,TI,Bellinzona,2812,265899,282181,306846,333753,354375
Uri,UR,Altdorf,1077,33883,34208,34777,35422,36145
Valais,VS,Sion,5225,218707,249817,272399,312684,339176
Vaud,VD,Lausanne,3212,528747,601816,640657,713281,784822
Zug,ZG,Zug,239,75930,85546,100052,113105,123948
Zürich [Zurich],ZH,Zürich,1729,1122839,1179044,1247906,1373068,1487969
