date,desks.occupied
2017-01-01,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-07,0
2017-01-08,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-26,0
2017-01-27,0
2017-01-28,0
2017-01-29,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-04,0
2017-02-05,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-11,0
2017-02-12,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-24,0
2017-02-25,0
2017-02-26,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-04,0
2017-03-05,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,0
2017-03-11,0
2017-03-12,0
2017-03-13,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-18,0
2017-03-19,0
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-25,0
2017-03-26,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-08,0
2017-04-09,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-22,0
2017-04-23,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-04-29,0
2017-04-30,0
2017-05-01,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-06,0
2017-05-07,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-13,0
2017-05-14,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-20,0
2017-05-21,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-27,0
2017-05-28,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-03,0
2017-06-04,0
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-10,0
2017-06-11,0
2017-06-12,220
2017-06-13,238
2017-06-14,215
2017-06-15,229
2017-06-16,176
2017-06-17,100
2017-06-18,93
2017-06-19,222
2017-06-20,233
2017-06-21,231
2017-06-22,217
2017-06-23,164
2017-06-24,79
2017-06-25,73
2017-06-26,225
2017-06-27,231
2017-06-28,220
2017-06-29,217
2017-06-30,161
2017-07-01,0
2017-07-02,86
2017-07-03,198
2017-07-04,194
2017-07-05,179
2017-07-06,174
2017-07-07,111
2017-07-08,46
2017-07-09,45
2017-07-10,180
2017-07-11,196
2017-07-12,177
2017-07-13,167
2017-07-14,104
2017-07-15,62
2017-07-16,55
2017-07-17,144
2017-07-18,151
2017-07-19,137
2017-07-20,131
2017-07-21,86
2017-07-22,40
2017-07-23,36
2017-07-24,118
2017-07-25,130
2017-07-26,121
2017-07-27,125
2017-07-28,100
2017-07-29,41
2017-07-30,0
2017-07-31,83
2017-08-01,36
2017-08-02,144
2017-08-03,132
2017-08-04,110
2017-08-05,40
2017-08-06,0
2017-08-07,147
2017-08-08,172
2017-08-09,173
2017-08-10,153
2017-08-11,102
2017-08-12,41
2017-08-13,0
2017-08-14,155
2017-08-15,179
2017-08-16,167
2017-08-17,150
2017-08-18,108
2017-08-19,51
2017-08-20,41
2017-08-21,146
2017-08-22,178
2017-08-23,164
2017-08-24,153
2017-08-25,104
2017-08-26,41
2017-08-27,39
2017-08-28,158
2017-08-29,184
2017-08-30,172
2017-08-31,170
2017-09-01,112
2017-09-02,43
2017-09-03,38
2017-09-04,154
2017-09-05,189
2017-09-06,164
2017-09-07,166
2017-09-08,82
2017-09-09,45
2017-09-10,42
2017-09-11,132
2017-09-12,141
2017-09-13,142
2017-09-14,136
2017-09-15,88
2017-09-16,48
2017-09-17,46
2017-09-18,135
2017-09-19,154
2017-09-20,138
2017-09-21,145
2017-09-22,93
2017-09-23,47
2017-09-24,48
2017-09-25,123
2017-09-26,135
2017-09-27,125
2017-09-28,110
2017-09-29,85
2017-09-30,45
2017-10-01,42
2017-10-02,127
2017-10-03,139
2017-10-04,136
2017-10-05,143
2017-10-06,87
2017-10-07,47
2017-10-08,33
2017-10-09,138
2017-10-10,128
2017-10-11,133
2017-10-12,133
2017-10-13,84
2017-10-14,40
2017-10-15,33
2017-10-16,153
2017-10-17,152
2017-10-18,136
2017-10-19,132
2017-10-20,87
2017-10-21,35
2017-10-22,32
2017-10-23,133
2017-10-24,155
2017-10-25,152
2017-10-26,126
2017-10-27,83
2017-10-28,54
2017-10-29,32
2017-10-30,133
2017-10-31,128
2017-11-01,140
2017-11-02,0
2017-11-03,0
2017-11-04,0
2017-11-05,0
2017-11-06,0
2017-11-07,0
2017-11-08,0
2017-11-09,0
2017-11-10,0
2017-11-11,0
2017-11-12,0
2017-11-13,0
2017-11-14,0
2017-11-15,0
2017-11-16,0
2017-11-17,0
2017-11-18,0
2017-11-19,0
2017-11-20,0
2017-11-21,0
2017-11-22,0
2017-11-23,0
2017-11-24,0
2017-11-25,0
2017-11-26,0
2017-11-27,0
2017-11-28,0
2017-11-29,0
2017-11-30,0
2017-12-01,0
2017-12-02,0
2017-12-03,0
2017-12-04,0
2017-12-05,0
2017-12-06,0
2017-12-07,0
2017-12-08,0
2017-12-09,0
2017-12-10,0
2017-12-11,0
2017-12-12,0
2017-12-13,0
2017-12-14,0
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,0
2017-12-20,0
2017-12-21,0
2017-12-22,0
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,0
2017-12-27,0
2017-12-28,0
2017-12-29,0
2017-12-30,0
